country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Algeria,2020,11,69146.13333333333,45795.066666666666,2174.9333333333334,Africa,Tropical/Subtropical,Dry Season
Algeria,2020,12,93037.74193548386,61374.967741935485,2620.3870967741937,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,1,103621.54838709677,70371.6129032258,2830.1290322580644,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,2,110596.92857142857,75961.53571428571,2939.3928571428573,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,3,115416.06451612903,80060.03225806452,3042.3870967741937,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,4,119377.93333333333,83187.4,3156.4333333333334,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,5,125496.87096774194,87419.3870967742,3372.6129032258063,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,6,134352.96666666667,93508.66666666667,3596.4666666666667,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,7,152726.16129032258,105079.51612903226,3932.6129032258063,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,8,186738.67741935485,15120.806451612903,4808.225806451613,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,9,200541.26666666666,0.0,5613.033333333334,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,10,205104.16129032258,0.0,5868.1612903225805,Africa,Tropical/Subtropical,Wet Season
Algeria,2021,11,208316.93333333332,0.0,5992.766666666666,Africa,Tropical/Subtropical,Dry Season
Algeria,2021,12,214077.1935483871,0.0,6171.612903225807,Africa,Tropical/Subtropical,Dry Season
Algeria,2022,1,230355.29032258064,0.0,6419.548387096775,Africa,Tropical/Subtropical,Dry Season
Algeria,2022,2,261337.75,0.0,6733.321428571428,Africa,Tropical/Subtropical,Dry Season
Algeria,2022,3,265445.9032258064,0.0,6864.677419354839,Africa,Tropical/Subtropical,Dry Season
Algeria,2022,4,265713.4375,0.0,6874.0,Africa,Tropical/Subtropical,Dry Season
Andorra,2020,1,0.0,0.0,0.0,Europe,Four Seasons,Winter
Andorra,2020,2,0.0,0.0,0.0,Europe,Four Seasons,Winter
Andorra,2020,3,89.90322580645162,1.1935483870967742,1.2580645161290323,Europe,Four Seasons,Spring
Andorra,2020,4,636.8666666666667,187.86666666666667,30.566666666666666,Europe,Four Seasons,Spring
Andorra,2020,5,758.0,596.9354838709677,48.96774193548387,Europe,Four Seasons,Spring
Andorra,2020,6,850.3666666666667,774.6333333333333,51.5,Europe,Four Seasons,Summer
Andorra,2020,7,876.5806451612904,802.483870967742,52.0,Europe,Four Seasons,Summer
Andorra,2020,8,1012.3225806451613,860.5483870967741,52.645161290322584,Europe,Four Seasons,Summer
Andorra,2020,9,1509.1666666666667,1070.9333333333334,53.0,Europe,Four Seasons,Autumn
Andorra,2020,10,3324.7419354838707,2229.6129032258063,61.12903225806452,Europe,Four Seasons,Autumn
Andorra,2020,11,5830.233333333334,4778.266666666666,75.53333333333333,Europe,Four Seasons,Autumn
Andorra,2020,12,7423.064516129032,6761.4838709677415,79.93548387096774,Europe,Four Seasons,Winter
Andorra,2021,1,9007.290322580646,8185.387096774193,90.48387096774194,Europe,Four Seasons,Winter
Andorra,2021,2,10479.0,9899.785714285714,106.64285714285714,Europe,Four Seasons,Winter
Andorra,2021,3,11366.935483870968,10867.935483870968,112.87096774193549,Europe,Four Seasons,Spring
Andorra,2021,4,12687.766666666666,12041.2,121.23333333333333,Europe,Four Seasons,Spring
Andorra,2021,5,13508.193548387097,13132.032258064517,126.93548387096774,Europe,Four Seasons,Spring
Andorra,2021,6,13825.466666666667,13617.733333333334,127.0,Europe,Four Seasons,Summer
Andorra,2021,7,14266.41935483871,13888.258064516129,127.06451612903226,Europe,Four Seasons,Summer
Andorra,2021,8,14922.41935483871,1846.258064516129,129.0,Europe,Four Seasons,Summer
Andorra,2021,9,15116.3,0.0,130.0,Europe,Four Seasons,Autumn
Andorra,2021,10,15354.645161290322,0.0,130.0,Europe,Four Seasons,Autumn
Andorra,2021,11,16038.0,0.0,130.23333333333332,Europe,Four Seasons,Autumn
Andorra,2021,12,20312.548387096773,0.0,135.29032258064515,Europe,Four Seasons,Winter
Andorra,2022,1,30061.967741935485,0.0,142.48387096774192,Europe,Four Seasons,Winter
Andorra,2022,2,37260.07142857143,0.0,148.89285714285714,Europe,Four Seasons,Winter
Andorra,2022,3,39070.41935483871,0.0,152.32258064516128,Europe,Four Seasons,Spring
Andorra,2022,4,40309.25,0.0,153.0,Europe,Four Seasons,Spring
Angola,2020,1,0.0,0.0,0.0,Africa,Tropical/Subtropical,Dry Season
Angola,2020,2,0.0,0.0,0.0,Africa,Tropical/Subtropical,Dry Season
Angola,2020,3,1.5483870967741935,0.03225806451612903,0.1935483870967742,Africa,Tropical/Subtropical,Dry Season
Angola,2020,4,20.033333333333335,4.3,2.0,Africa,Tropical/Subtropical,Dry Season
Angola,2020,5,52.87096774193548,15.03225806451613,2.7419354838709675,Africa,Tropical/Subtropical,Wet Season
Angola,2020,6,155.33333333333334,55.6,7.0,Africa,Tropical/Subtropical,Wet Season
Angola,2020,7,646.741935483871,184.1290322580645,29.516129032258064,Africa,Tropical/Subtropical,Wet Season
Angola,2020,8,1908.3870967741937,718.8064516129032,84.74193548387096,Africa,Tropical/Subtropical,Wet Season
